sigungu_cd,bjdong_cd,bun,ji,total_exclusive_area,unit_count
11200,11500,0289,0319,16371.82,179
11200,11500,0300,0004,14022.63,145
11200,11500,0302,0008,10017.68,123
11200,11500,0308,0004,30404.25,219
11200,11500,0314,0013,23108.49,300
11200,11500,0315,0061,21932.45,322
11200,11500,0322,0001,10794.1,159
11200,11500,0323,0000,12044.614,165
11200,11500,0325,0002,17590.95,172
11200,11500,0333,0015,10481.77,139
11200,11500,0333,0140,14681.018,102
11200,11500,0400,0000,10175.68,127
11200,11500,0442,0000,15527.96,205
11200,11500,0609,0002,10504.63,142
11200,11500,0712,0000,20397.45,272
11200,11500,0830,0000,8027.17,119
11200,11500,0832,0000,10246.6,150
11200,11500,0833,0000,10444.32,146
11200,11500,0834,0000,66498.24,668
11200,11500,0835,0000,58425.483,616
11200,11500,0836,0000,10381.32,130
11200,11500,0838,0000,16949.18,157
11200,11500,0840,0000,10551.3,120
11200,11500,0843,0000,47463.94,445
11200,11800,0090,0000,33700.59,447
11200,11800,0104,0000,20757.45,241
11200,12200,0015,0000,10091.325,137
11200,12200,0228,0001,3427.895,116
11200,12200,0229,0001,3423.98,189
11200,12200,0229,0002,3648.35,135
11200,12200,0229,0009,2212.24,113
11200,12200,0229,0010,3862.8,198
11200,12200,0229,0011,3629.8,189
11200,12200,0229,0013,1516.46,145
11200,12200,0232,0001,13722.97,201
11200,12200,0233,0001,3287.6,175
11200,12200,0233,0008,6776.89,206
11200,12200,0234,0000,30303.89,659
11200,12200,0235,0004,2896.53,123
11200,12200,0236,0005,4561.23,140
11200,12200,0238,0002,6022.24,138
11200,12200,0238,0005,11409.095,360
11200,12200,0238,0006,8133.18,207
11200,12200,0238,0007,5975.62,165
11200,12200,0238,0012,9367.13,415
11200,12200,0253,0000,26298.3494,452
11215,10100,0018,0024,11919.9,157
11215,10100,0093,0013,6827.0756,274
11215,10100,0190,0026,7187.07,123
11215,10100,0191,0077,8321.49,153
11215,10100,0231,0001,5322.95,105
11215,10100,0292,0000,15879.52,209
11215,10100,0637,0005,7121.06,309
11215,10100,0639,0004,3009.95,159
11215,10100,0639,0006,4801.5,273
11215,10300,0076,0001,4412.152,128
11215,10300,0199,0018,37650.22,301
11215,10300,0199,0023,14100.81,120
11215,10300,0218,0012,4839.87,144
11215,10300,0243,0013,2424.18,112
